gene,logfoldchange,pval,pval_adj,score
KCND2,6.0895987,0.02194578638602552,0.9269594877670725,2.434015
SDC1,4.6012707,0.027219512309715338,0.9269594877670725,2.429649
FER,2.85709,0.022093062728125484,0.9269594877670725,2.423351
ENSG00000229618,7.2713947,0.029011787073668454,0.9269594877670725,2.4203994
ZFYVE9,1.8531858,0.022800854208899036,0.9269594877670725,2.4122012
SYT16,2.6538901,0.023080500800925663,0.9269594877670725,2.4118347
PDE8A,2.7288241,0.024348526856623705,0.9269594877670725,2.4026613
HCN1,4.2322383,0.02687941156011419,0.9269594877670725,2.4017196
KCTD1,2.1667206,0.02324547694283133,0.9269594877670725,2.400865
LINC02133,4.3162208,0.028766436302372723,0.9269594877670725,2.4000995
MSI2,4.878278,0.02342106256699242,0.9269594877670725,2.3975072
TMEM117,2.42299,0.023787874904032946,0.9269594877670725,2.397062
SPECC1L,3.1463034,0.025894511924148225,0.9269594877670725,2.3893073
SLC6A1,2.777338,0.02524094732063519,0.9269594877670725,2.3759255
LINC01138,2.7801523,0.02693534695149363,0.9269594877670725,2.3759043
FGD6,3.3819215,0.02931422321914981,0.9269594877670725,2.3735716
ENSG00000259560,3.2228563,0.02624793728627388,0.9269594877670725,2.3733864
DPP8,2.4734063,0.026844618772710035,0.9269594877670725,2.3706417
TRPC3,5.49883,0.032061418876679466,0.9269594877670725,2.3689497
GPC3,4.675993,0.027840139249267,0.9269594877670725,2.3688214
USP9Y,2.3597014,0.025273436727768224,0.9269594877670725,2.3671954
ADARB1,2.459957,0.026312252953096815,0.9269594877670725,2.3671722
ZC3H11A,2.0903957,0.025577976427821923,0.9269594877670725,2.3667738
PPIP5K2,1.9418188,0.02527092955587445,0.9269594877670725,2.3637674
GALNTL6,6.0099163,0.026262864805548774,0.9269594877670725,2.363242
PTPRG,5.534116,0.026053528803669054,0.9269594877670725,2.361081
KIAA1328,2.250096,0.025701175941308153,0.9269594877670725,2.3571396
ASPH,2.1195807,0.025926802259835187,0.9269594877670725,2.355407
CENPK,2.993956,0.027865070667663857,0.9269594877670725,2.3520386
PARP6,2.382608,0.02786775446279325,0.9269594877670725,2.351709
DAPK1,3.1678925,0.026829637174770198,0.9269594877670725,2.3491874
ZNF420,2.59362,0.02870498035433732,0.9269594877670725,2.3483663
TBC1D1,2.791878,0.027724718262589786,0.9269594877670725,2.3476412
RESF1,2.1758616,0.02776989663215438,0.9269594877670725,2.3378928
CDH18,4.713355,0.02779513597320811,0.9269594877670725,2.334507
NUSAP1,3.7516413,0.031438860171960833,0.9269594877670725,2.3337173
ZNF432,2.190003,0.028368337619485002,0.9269594877670725,2.32436
NINL,2.8312864,0.0296308274300567,0.9269594877670725,2.3226671
BTBD9,2.8145862,0.028055643263210184,0.9269594877670725,2.3170211
SVIL,3.291964,0.030308399421151024,0.9269594877670725,2.3150992
MICAL3,3.600721,0.028257627668205287,0.9269594877670725,2.3137693
INO80,2.6044528,0.031241191620805457,0.9269594877670725,2.3125172
PALLD,2.517949,0.028848803399218984,0.9269594877670725,2.3092856
MAP7D2,2.6950233,0.03144611251944272,0.9269594877670725,2.309186
RORB,3.7422445,0.032099623189238896,0.9269594877670725,2.3041196
ZNF300,2.1893845,0.029428261573788264,0.9269594877670725,2.3023002
GPR39,3.1635387,0.030566020307160355,0.9269594877670725,2.3001177
HS3ST2,4.35277,0.035400426221518386,0.9269594877670725,2.2987573
RB1,2.3795364,0.031229014478603847,0.9269594877670725,2.2934031
SMTN,3.0221047,0.03213382022176987,0.9269594877670725,2.290646
PFKFB3,2.2844257,0.030883027280179876,0.9269594877670725,2.2902586
CAPRIN2,2.1518452,0.030825744948521135,0.9269594877670725,2.288442
MPRIP,2.8156054,0.03158919147416204,0.9269594877670725,2.2850864
ENSG00000225649,5.0676246,0.036940989747215616,0.9269594877670725,2.284334
THCAT155,4.9587126,0.03715696913332936,0.9269594877670725,2.2835534
CSTPP1,2.5018568,0.031135127506630007,0.9269594877670725,2.2808
CCDC146,2.104383,0.03063109877750525,0.9269594877670725,2.27796
